wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,,,,seafood,seafood,seafood,seafood,seafood,seafood,seafood,seafood,seafood,seafood,seafood,seafood,seafood,meat,meat,meat,meat,meat,meat,meat,meat,meat,meat,meat,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,seafood,seafood,seafood,seafood,,,wall,household goods,,,seasoning,,,snack,,,meat,meat,meat,,,meat,meat,dairy,,wall
wall,,,,seafood,seafood,seafood,seafood,,,wall,household goods,,,seasoning,,,snack,,,meat,meat,meat,,,meat,meat,dairy,,wall
wall,,,,,,,,,,wall,household goods,,,seasoning,,,snack,,,,,,,,,,,,wall
wall,,,,,,,,,,wall,household goods,,,seasoning,,,snack,,,,,,,,,,,,wall
wall,vegetable,,,vegetable,vegetable,vegetable,vegetable,,,wall,household goods,,,seasoning,,,snack,,,dairy,dairy,dairy,,,dairy,dairy,dairy,,wall
wall,vegetable,,,vegetable,vegetable,vegetable,vegetable,,,wall,household goods,,,seasoning,,,snack,,,dairy,dairy,dairy,,,dairy,dairy,dairy,,wall
wall,,,,,,,,,,wall,household goods,,,seasoning,,,snack,,,,,,,,,,,,wall
wall,,,,,,,,,,wall,household goods,,,seasoning,,,snack,,,,,,,,,,,,wall
wall,vegetable,,,vegetable,vegetable,vegetable,vegetable,,,wall,household goods,,,seasoning,,,snack,,,dairy,dairy,dairy,,,,,,,wall
wall,vegetable,,,vegetable,vegetable,vegetable,vegetable,,,wall,household goods,,,seasoning,,,snack,,,,,,,,drink,drink,,,wall
wall,vegetable,,,,,,,,,wall,household goods,,,seasoning,,,snack,,,,alcohol,alcohol,,,drink,drink,,,wall
wall,,,,,,,,,,wall,household goods,,,seasoning,,,snack,,,,alcohol,alcohol,,,drink,drink,,,wall
wall,,,,fruit,fruit,fruit,,,,wall,household goods,,,seasoning,,,snack,,,,alcohol,alcohol,,,drink,drink,,,wall
wall,,,,fruit,fruit,fruit,fruit,,,wall,household goods,,,seasoning,,,snack,,,,alcohol,alcohol,,,drink,drink,,,wall
wall,,,,,,,,,,wall,household goods,,,seasoning,,,snack,,,,alcohol,alcohol,,,drink,drink,,,wall
wall,,,,,,,,,,wall,household goods,,,seasoning,,,snack,,,,alcohol,alcohol,,,drink,drink,,,wall
wall,,,,fruit,fruit,fruit,fruit,,,,,,,,,,,,,,alcohol,alcohol,,,drink,drink,,,wall
wall,,,,fruit,fruit,fruit,fruit,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,casher,,casher,,casher,,casher,,casher,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall